Network,Sites,Correlation,Days_Apart,Scanner1,Scanner2,Scanner_Label
DMN,CHUM1 vs CHUM2 ,0.8,873,Philips,Philips,PhilipsPhilips
DMN,CHUM1 vs CHUS1 ,0.61,112,Philips,Philips,PhilipsPhilips
DMN,CHUM1 vs CHUS2 ,0.71,293,Philips,Philips,PhilipsPhilips
DMN,CHUM1 vs CHUS3 ,0.63,854,Philips,Philips,PhilipsPhilips
DMN,CHUM1 vs CINQ1 ,0.71,22,Philips,Philips,PhilipsPhilips
DMN,CHUM1 vs CINQ2 ,0.48,281,Philips,Philips,PhilipsPhilips
DMN,CHUM1 vs CINQ3 ,0.78,867,Philips,Philips,PhilipsPhilips
DMN,CHUM1 vs UBC1 ,0.67,823,Philips,Philips,PhilipsPhilips
DMN,CHUM1 vs IUGM1 ,0.68,43,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs IUGM2 ,0.63,250,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs IUGM3 ,0.66,845,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs ISMD1 ,0.64,44,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs ISMD2 ,0.71,496,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs ISMD3 ,0.68,873,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs MNI1 ,0.71,44,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs MNI2 ,0.67,333,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs MNI3 ,0.66,333,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs MNI4 ,0.69,873,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs EDM1 ,0.79,880,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs RRI1 ,0.72,1005,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs SASK1 ,0.71,1085,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs SUN1 ,0.71,965,Philips,Siemens,PhilipsSiemens
DMN,CHUM1 vs TWH1 ,0.67,1218,Philips,GE,PhilipsGE
DMN,CHUM1 vs VIC1 ,0.64,1086,Philips,GE,PhilipsGE
DMN,CHUM2 vs CHUS1 ,0.62,761,Philips,Philips,PhilipsPhilips
DMN,CHUM2 vs CHUS2 ,0.7,580,Philips,Philips,PhilipsPhilips
DMN,CHUM2 vs CHUS3 ,0.59,19,Philips,Philips,PhilipsPhilips
DMN,CHUM2 vs CINQ1 ,0.69,895,Philips,Philips,PhilipsPhilips
DMN,CHUM2 vs CINQ2 ,0.57,592,Philips,Philips,PhilipsPhilips
DMN,CHUM2 vs CINQ3 ,0.83,6,Philips,Philips,PhilipsPhilips
DMN,CHUM2 vs UBC1 ,0.66,50,Philips,Philips,PhilipsPhilips
DMN,CHUM2 vs IUGM1 ,0.69,916,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs IUGM2 ,0.67,623,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs IUGM3 ,0.63,28,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs ISMD1 ,0.61,917,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs ISMD2 ,0.62,377,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs ISMD3 ,0.63,0,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs MNI1 ,0.67,917,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs MNI2 ,0.66,540,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs MNI3 ,0.66,540,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs MNI4 ,0.64,0,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs EDM1 ,0.7,7,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs RRI1 ,0.69,132,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs SASK1 ,0.64,212,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs SUN1 ,0.65,92,Philips,Siemens,PhilipsSiemens
DMN,CHUM2 vs TWH1 ,0.61,345,Philips,GE,PhilipsGE
DMN,CHUM2 vs VIC1 ,0.63,213,Philips,GE,PhilipsGE
DMN,CHUS1 vs CHUS2 ,0.53,181,Philips,Philips,PhilipsPhilips
DMN,CHUS1 vs CHUS3 ,0.63,742,Philips,Philips,PhilipsPhilips
DMN,CHUS1 vs CINQ1 ,0.54,134,Philips,Philips,PhilipsPhilips
DMN,CHUS1 vs CINQ2 ,0.38,169,Philips,Philips,PhilipsPhilips
DMN,CHUS1 vs CINQ3 ,0.6,755,Philips,Philips,PhilipsPhilips
DMN,CHUS1 vs UBC1 ,0.46,711,Philips,Philips,PhilipsPhilips
DMN,CHUS1 vs IUGM1 ,0.5,155,Philips,Siemens,PhilipsSiemens
DMN,CHUS1 vs IUGM2 ,0.45,138,Philips,Siemens,PhilipsSiemens
DMN,CHUS1 vs IUGM3 ,0.56,733,Philips,Siemens,PhilipsSiemens
DMN,CHUS1 vs ISMD1 ,0.42,156,Philips,Siemens,PhilipsSiemens
DMN,CHUS1 vs ISMD2 ,0.58,384,Philips,Siemens,PhilipsSiemens
DMN,CHUS1 vs ISMD3 ,0.66,761,Philips,Siemens,PhilipsSiemens
