Time,Scan_dates,Visit,Site,id,tSNR_raw,Scanner,FD,FD_scrubbed,Total_volume,Volumes_scrubbed,Volumes_remaining
44,7/3/14,1,CHUM,CHUM1,100.891227722168,Philips,0.184464785,0.182315974,297,4,293
917,11/22/16,2,CHUM,CHUM2,85.0677490234375,Philips,0.249585583,0.22579546,297,42,255
156,10/23/14,1,CHUS,CHUS1,79.8416748046875,Philips,0.177949038,0.174218253,297,8,289
337,4/22/15,2,CHUS,CHUS2,78.0799789428711,Philips,0.24618198,0.213795674,297,91,206
898,11/3/16,3,CHUS,CHUS3,77.9089202880859,Philips,0.251285935,0.232444537,297,34,263
22,6/11/14,1,CINQ,CINQ1,90.0819625854492,Philips,0.289164926,0.246615864,297,86,211
325,4/10/15,2,CINQ,CINQ2,94.1044158935547,Philips,0.301786887,0.20897171,297,118,179
911,11/16/16,3,CINQ,CINQ3,90.6391220092774,Philips,0.217974174,0.183524516,297,41,256
924,11/29/16,1,EDM,EDM1,78.8609008789063,Siemens,0.188473033,0.188473033,297,0,297
0,5/20/14,1,ISMD,ISMD1,78.4432678222656,Siemens,0.082450909,0.082450909,297,0,297
540,11/11/15,2,ISMD,ISMD2,70.3118743896484,Siemens,0.158121293,0.154732306,297,4,293
917,11/22/16,3,ISMD,ISMD3,70.6523056030273,Siemens,0.140604248,0.140604248,297,0,297
1,5/21/14,1,IUGM,IUGM1,75.155158996582,Siemens,0.093192007,0.093192007,297,0,297
294,3/10/15,2,IUGM,IUGM2,72.4479522705078,Siemens,0.101332223,0.101332223,297,0,297
889,10/25/16,3,IUGM,IUGM3,81.509033203125,Siemens,0.098104803,0.098104803,297,0,297
0,5/20/14,1,MNI,MNI1,72.4633636474609,Siemens,0.095614146,0.095614146,296,0,296
377,6/1/15,2,MNI,MNI2,69.9201202392578,Siemens,0.110125419,0.110125419,297,0,297
917,11/22/16,3,MNI,MNI3,67.7222900390625,Siemens,0.125861372,0.125861372,297,0,297
1049,4/3/17,1,RRI,RRI1,83.9822235107422,Siemens,0.107442622,0.107442622,247,0,247
1129,6/22/17,1,SASK,SASK1,78.3067321777344,Siemens,0.178100753,0.164536342,247,18,229
1009,2/22/17,1,SUN,SUN1,89.5601959228516,Siemens,0.105091218,0.105091218,275,0,275
1262,11/2/17,1,TWH,TWH1,101.575988769531,GE,0.153839192,0.153839192,247,0,247
867,10/3/16,1,UBC,UBC1,108.752433776855,Philips,0.219645247,0.199137712,297,42,255
1130,6/23/17,1,VIC,VIC1,58.3770523071289,GE,0.143992007,0.135399378,247,12,235
